SMILES,PMF
CCC(C)(C)CCCOC1C(C(C(C(O1)CO)O)O)O,37.147735
CCC(C)(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.39373
CCC(C)(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,55.980832
CCCC(C)(C)CCOCCOCCOCCO,26.788854
CCCC(C)(C)CC1=CC=C(C=C1)OCCO,19.20771
CCCC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,35.125061
CCCC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,47.006721
CCCC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,44.137872
CCCCCCCCOCCOCCOCCO,29.253257
CCCCCCCC1=CC=C(C=C1)OCCO,18.874375
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,34.617369
CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,45.377024
CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,44.675965
CC(C)C(C)(C)CCOCCOCCOCCO,36.826085
CC(C)C(C)(C)CC1=CC=C(C=C1)OCCO,19.549081
CC(C)C(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,57.456141
CC(C)C(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,64.372005
CC(C)C(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,53.449397
CCC(CC)CCCOCCOCCOCCO,31.127022
CCC(CC)CCC1=CC=C(C=C1)OCCO,24.083592
CCC(CC)CCCOC1C(C(C(C(O1)CO)O)O)O,30.274703
CCC(CC)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,68.131896
CCC(CC)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,60.013159
CCCC(C)CCCOCCOCCOCCO,30.680789
CCCC(C)CCC1=CC=C(C=C1)OCCO,19.448487
CCCC(C)CCCOC1C(C(C(C(O1)CO)O)O)O,47.713808
CCCC(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,48.963266
CCCC(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,64.289526
CCCCC(C)CCOCCOCCOCCO,28.408679
CCCCC(C)CC1=CC=C(C=C1)OCCO,23.567165
CCCCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,56.007577
CCCCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.726196
CCCCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.762617
CC(C)CC(C)CCOCCOCCOCCO,30.33756
CC(C)CC(C)CC1=CC=C(C=C1)OCCO,27.956171
CC(C)CC(C)CCOC1C(C(C(C(O1)CO)O)O)O,30.401117
CC(C)CC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,40.660731
CC(C)CC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,51.806881
CCC(C)C(C)CCOCCOCCOCCO,31.317841
CCC(C)C(C)CC1=CC=C(C=C1)OCCO,25.881792
CCC(C)C(C)CCOC1C(C(C(C(O1)CO)O)O)O,32.572618
CCC(C)C(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.555276
CCC(C)C(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,72.993278
CC(C)(C)C(C)(C)CCOCCOCCOCCO,24.227956
CC(C)(C)C(C)(C)CC1=CC=C(C=C1)OCCO,33.887207
CC(C)(C)C(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,34.336354
CC(C)(C)C(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,56.303569
CC(C)(C)C(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,74.439716
CCC(C)(CC)CCCOCCOCCOCCO,29.126092
CCC(C)(CC)CCC1=CC=C(C=C1)OCCO,30.141789
CCC(C)(CC)CCCOC1C(C(C(C(O1)CO)O)O)O,50.368069
CCC(C)(CC)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,67.672041
CCC(C)(CC)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,66.895624
CCCC(C)(C)CCCOCCOCCOCCO,35.835371
CCCC(C)(C)CCC1=CC=C(C=C1)OCCO,27.925591
CCCC(C)(C)CCCOC1C(C(C(C(O1)CO)O)O)O,39.798713
CCCC(C)(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,49.234915
CCCC(C)(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,58.731395
