SMILES,PMF,GGI10,ATSC7d,MATS1s,Xc-5d,AATS4d,GATS1dv,AATSC7s,BCUTs-1l,GATS2s,BCUTc-1l
CCCC(C)CCCOCCOCCOCCO,30.680789,0.03305785123966942,-1.333333333333333,-0.07054313870114123,0.0,1.8108108108108107,0.8828939301042308,0.003242669753086389,1.2307992929684795,1.2106761228816898,-0.4162894628771813
CCCC(C)CCC1=CC=C(C=C1)OCCO,19.448487,0.03305785123966942,-4.014277215942891,-0.08850181662748453,0.0,2.02,0.7601809954751132,-0.06809297187048524,1.23106195250368,0.9207788682035316,-0.5221246667530608
CCCC(C)CCCOC1C(C(C(C(O1)CO)O)O)O,39.209574588933,0.07019691868176717,0.6180555555555558,-0.1771561771561772,0.4146723119520975,1.9855072463768115,0.8224999999999999,-0.1941323345817728,1.1540135792165984,0.9356481481481488,-0.3945775071679626
CCCC(C)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,48.963266,0.14039383736353434,-9.964083175803403,-0.19867447025895307,0.768617269803962,2.323809523809524,0.8044264339152123,-0.036071177258408596,1.1531137665608735,0.9663254291284922,-0.3954805064095395
CCCC(C)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.205515840420425,0.1722314049586777,-9.54200146092038,-0.0929562035008306,0.1916383190435099,2.4098360655737703,0.7277195883866224,-0.0823336645408718,1.1595849118210184,0.9555790192328291,-0.49317666497666107
CCCCC(C)CCOCCOCCOCCO,28.408679,0.03305785123966942,0.9999999999999996,-0.07054313870114125,0.0,1.7927927927927927,0.8828939301042307,0.05696694958847732,1.230971608523386,1.2106761228816898,-0.4162779737682987
CCCCC(C)CC1=CC=C(C=C1)OCCO,23.567165,0.01652892561983471,-2.982748364069008,-0.08850181662748453,0.0,2.07,0.7601809954751132,0.016271903733158004,1.2322909533385316,0.9212525198847062,-0.5221247316637241
CCCCC(C)CCOC1C(C(C(C(O1)CO)O)O)O,40.91260831778943,0.07019691868176717,0.1388888888888894,-0.1771561771561772,0.4146723119520975,1.9782608695652173,0.8224999999999999,-0.12740384615384612,1.1540135606664967,0.9356481481481488,-0.3945620732184336
CCCCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.726196,0.15692276298336905,-9.924385633270322,-0.19867447025895307,0.768617269803962,2.3190476190476192,0.8044264339152123,-0.006073427413991843,1.1531137338090498,0.9663254291284922,-0.3954692752008796
CCCCC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.762617,0.1887603305785124,-5.872169466764061,-0.0929562035008306,0.1916383190435099,2.420765027322404,0.7277195883866224,-0.03776930718308717,1.1595849118214754,0.9556968319586623,-0.49316055056531405
CC(C)CC(C)CCOCCOCCOCCO,30.33756,0.04958677685950413,-0.6666666666666664,-0.09157974448542873,0.0,1.7833333333333334,0.8845921450151059,0.0006501486053954881,1.2178881971488327,1.1916788435445151,-0.416277867790393
CC(C)CC(C)CC1=CC=C(C=C1)OCCO,27.956171,0.03305785123966942,-4.631171921475312,-0.11561415389824768,0.0,2.0458715596330275,0.7641048422923146,-0.05623538609623899,1.2186273754755046,0.9005195833266604,-0.5221247732011286
CC(C)CC(C)CCOC1C(C(C(C(O1)CO)O)O)O,37.97633816093292,0.0908070605040302,-1.256944444444445,-0.18899527330020602,0.4146723119520975,1.9591836734693877,0.8243577075098814,-0.23531970841455496,1.1540135665512143,0.9302403749040522,-0.3945618009533974
